Gene,Freq
Gpr158,0.034
Eif4g3,0.034
Igf1r,0.034
Nbpf1,0.034
Myo10,0.034
Tut4,0.034
Sorcs1,0.034
Slit2,0.034
Ankrd17,0.034
Myh6,0.034
Scrib,0.034
Rpgrip1l,0.034
Lrpprc,0.034
Cpd,0.034
Rreb1,0.034
Magi2,0.034
Cdh10,0.034
Mecom,0.032
Adamtsl1,0.032
Tns1,0.032
Chd3,0.032
Ubr2,0.032
Nav2,0.032
Ptch1,0.032
Zfp36l2,0.032
Myo18b,0.032
Pcdha12,0.032
Arhgap35,0.032
Ston1-gtf2a1l,0.032
Tbx3,0.032
Tnc,0.032
Spef2,0.032
Etv1,0.032
Cdh1,0.032
Pcnx1,0.032
Klf5,0.032
Sdk1,0.032
Heph,0.032
Tbc1d8b,0.032
Rp1,0.032
Rbbp6,0.032
Zc3h13,0.032
Pds5b,0.032
Pik3c2a,0.032
Gpatch8,0.032
Cr1,0.032
Nf2,0.032
Cic,0.032
Pcf11,0.032
Myh7,0.032
Nes,0.032
Dlc1,0.032
Samd9l,0.032
Arhgap21,0.032
Rai14,0.032
Kif27,0.032
Itga8,0.032
Carf,0.032
Zswim8,0.032
Sema3d,0.032
Rnf111,0.032
Eif2ak4,0.032
Plxnb2,0.032
Rarg,0.032
Heatr5b,0.032
Plxna2,0.032
Myo15a,0.032
Znf423,0.032
Nfat5,0.032
Map1a,0.032
Nup188,0.032
Pik3cg,0.032
C3,0.032
Ncoa3,0.032
Adgrl3,0.032
Znf626,0.032
Nipbl,0.032
Bub1,0.032
Pparg,0.032
Togaram1,0.032
Kiaa1217,0.032
Pzp,0.032
Sbf2,0.032
Adam29,0.032
Atrx,0.032
Supt6h,0.032
C2cd3,0.032
Arid5b,0.032
Kif21b,0.032
Pdgfra,0.032
Myh10,0.032
Celsr1,0.032
Lamb1,0.032
Fancm,0.032
Cenpe,0.032
Tanc1,0.032
Tanc2,0.032
Nos1,0.032
Hfm1,0.032
Fermt3,0.032
Rasal2,0.032
Heatr1,0.032
Mia2,0.032
Actb,0.032
Plcb1,0.032
Cep192,0.032
Bcor,0.032
Adcy8,0.032
Dhx9,0.032
Atp10a,0.032
Acss3,0.032
Shank1,0.032
Nup153,0.032
Nbea,0.032
Aff4,0.032
Znf608,0.032
Myo9b,0.032
Sbno1,0.032
Cfap65,0.032
Gli3,0.031
Dock9,0.03
Xirp1,0.03
Ptpn4,0.03
Mast4,0.03
Nsd2,0.03
Aff3,0.03
Nexmif,0.03
Unc13b,0.03
Kif16b,0.03
Ptprb,0.03
Atp13a3,0.03
Rims2,0.03
Kndc1,0.03
Plcg2,0.03
Ppargc1a,0.03
Zgrf1,0.03
Ccdc178,0.03
Jag1,0.03
Enam,0.03
Dennd5b,0.03
Ccdc180,0.03
Cntln,0.03
Arhgef12,0.03
Pcdh17,0.03
Auts2,0.03
Polr2a,0.03
Sorcs3,0.03
Bltp2,0.03
Kif19,0.03
Col3a1,0.03
C3orf70,0.03
Abca6,0.03
Abca1,0.03
Itgb4,0.03
Cul1,0.03
Thrap3,0.03
Tns3,0.03
Nup210,0.03
Ripk4,0.03
Parp1,0.03
Flt1,0.03
Ahctf1,0.03
Kif26b,0.03
Adcy5,0.03
Ints1,0.03
Mphosph9,0.03
Slitrk5,0.03
Col5a2,0.03
Arhgap20,0.03
Med1,0.03
Usp24,0.03
Pappa,0.03
Prrc2a,0.03
Uspl1,0.03
Arap2,0.03
Tex2,0.03
Ino80,0.03
Map3k4,0.03
Synpo2,0.03
Eml5,0.03
Prg4,0.03
Trpm3,0.03
Bcl9,0.03
Ralgapb,0.03
Filip1,0.03
Psme4,0.03
Cd163l1,0.03
Smc2,0.03
Tnik,0.03
Hivep1,0.03
Znf644,0.03
Ppp1r3a,0.03
Mast1,0.03
Ralgapa2,0.03
Ctnnd2,0.03
Arid4a,0.03
Prdm9,0.03
Disp3,0.03
Phrf1,0.03
Myh3,0.03
Znf106,0.03
Fam83h,0.03
Myh1,0.03
Katnip,0.03
Nrcam,0.03
Cdk13,0.03
Epb41l3,0.03
Scn10a,0.03
Astn1,0.03
Card11,0.03
Cad,0.03
Grm1,0.03
Otogl,0.03
Pprc1,0.03
Greb1,0.03
Gcc2,0.03
Tln2,0.03
Grm5,0.03
Pik3c2g,0.03
Ltn1,0.03
Fbf1,0.03
Klhl1,0.03
Zmynd8,0.03
Golga2,0.03
Cfap54,0.03
Ift172,0.03
Sycp2,0.03
Rai1,0.03
Dennd4c,0.03
Ly75-cd302,0.03
Ankar,0.03
Rbm26,0.03
Naa15,0.03
Prdm2,0.03
Med13l,0.03
Wdr33,0.03
Fndc3b,0.03
Aspm,0.03
Arfgef2,0.03
Epha6,0.028999999999999998
Epha8,0.028999999999999998
Cdh11,0.028999999999999998
Brd4,0.027999999999999997
Recql4,0.027999999999999997
Pcdhb16,0.027000000000000003
Plcl1,0.027000000000000003
Nynrin,0.027000000000000003
Afdn,0.027000000000000003
Tmprss15,0.027000000000000003
Map1b,0.027000000000000003
Smc5,0.027000000000000003
Myom1,0.027000000000000003
Cfap47,0.027000000000000003
Znf750,0.027000000000000003
Pold1,0.027000000000000003
Znf831,0.027000000000000003
Speg,0.027000000000000003
Grik3,0.027000000000000003
Cacna1f,0.027000000000000003
Scn4a,0.027000000000000003
Neo1,0.027000000000000003
Zmiz1,0.027000000000000003
Rims1,0.027000000000000003
Ninl,0.027000000000000003
Agbl1,0.027000000000000003
Znf318,0.027000000000000003
Chek2,0.027000000000000003
Fsip2,0.027000000000000003
Muc6,0.027000000000000003
Arfgef1,0.027000000000000003
Cobll1,0.027000000000000003
Setbp1,0.027000000000000003
Trpm2,0.027000000000000003
Si,0.027000000000000003
Nup214,0.027000000000000003
Slc32a1,0.027000000000000003
Lrp4,0.027000000000000003
Spata31d1,0.027000000000000003
Adcy10,0.027000000000000003
Dnmt3a,0.027000000000000003
Nup210l,0.027000000000000003
Vps8,0.027000000000000003
Alpk2,0.027000000000000003
Scaf11,0.027000000000000003
Ank1,0.027000000000000003
Ntrk2,0.027000000000000003
Ints2,0.027000000000000003
Map4k3,0.027000000000000003
Bms1,0.027000000000000003
Kif14,0.027000000000000003
Gli2,0.027000000000000003
Kdm5b,0.027000000000000003
Mgam,0.027000000000000003
Adgrl2,0.027000000000000003
Rps6kc1,0.027000000000000003
Plch1,0.027000000000000003
Ogdh,0.027000000000000003
Lamb3,0.027000000000000003
Col11a2,0.027000000000000003
Cilp2,0.027000000000000003
Atp8b4,0.027000000000000003
Wdr36,0.027000000000000003
Usp9x,0.027000000000000003
Camsap1,0.027000000000000003
Card6,0.027000000000000003
Ehbp1,0.027000000000000003
Ncam2,0.027000000000000003
Ylpm1,0.027000000000000003
Cnnm4,0.027000000000000003
Cep290,0.027000000000000003
Atp10d,0.027000000000000003
Oas2,0.027000000000000003
Impg2,0.027000000000000003
Ttll5,0.027000000000000003
Ccar1,0.027000000000000003
Rsf1,0.027000000000000003
Ptprg,0.027000000000000003
Trps1,0.027000000000000003
Vwa3b,0.027000000000000003
Znf611,0.027000000000000003
Igf2r,0.027000000000000003
Pxdn,0.027000000000000003
Uaca,0.027000000000000003
Rad50,0.027000000000000003
Celsr2,0.027000000000000003
Scn2a,0.027000000000000003
Adgrb3,0.027000000000000003
Irs1,0.027000000000000003
Sema6d,0.027000000000000003
Lcor,0.027000000000000003
Sp140,0.027000000000000003
Cacna1h,0.027000000000000003
Marf1,0.027000000000000003
Dnaaf9,0.027000000000000003
Znf462,0.027000000000000003
Exoc4,0.027000000000000003
Ddx3x,0.027000000000000003
Adamts20,0.027000000000000003
Golga3,0.027000000000000003
Pik3c2b,0.027000000000000003
Itgav,0.027000000000000003
Dip2c,0.027000000000000003
Pan2,0.027000000000000003
Plekha7,0.027000000000000003
Egfr,0.027000000000000003
Mcm4,0.027000000000000003
Rttn,0.027000000000000003
Cald1,0.027000000000000003
Nup93,0.027000000000000003
Rnf19a,0.027000000000000003
Wdr7,0.027000000000000003
Arhgap30,0.027000000000000003
Lrrcc1,0.027000000000000003
Mylk,0.027000000000000003
Prdm16,0.027000000000000003
Kat7,0.027000000000000003
Gnas,0.027000000000000003
Kat6a,0.027000000000000003
Adamtsl3,0.027000000000000003
Gys2,0.027000000000000003
Iqgap2,0.027000000000000003
Dnmt1,0.027000000000000003
Setd5,0.027000000000000003
Hps3,0.027000000000000003
Rnf168,0.027000000000000003
Map3k5,0.027000000000000003
Jak2,0.027000000000000003
Dlec1,0.027000000000000003
Insr,0.027000000000000003
Jak3,0.027000000000000003
Adamts15,0.027000000000000003
Pum2,0.027000000000000003
Etv6,0.027000000000000003
Nid2,0.027000000000000003
Dnm2,0.027000000000000003
Fnbp4,0.027000000000000003
Abcc12,0.027000000000000003
Dock4,0.027000000000000003
Col4a2,0.027000000000000003
Vps50,0.027000000000000003
Ap3b1,0.027000000000000003
Cux2,0.027000000000000003
Col4a1,0.027000000000000003
Cep126,0.027000000000000003
Hipk1,0.027000000000000003
Col4a4,0.027000000000000003
Usp54,0.027000000000000003
Frmpd1,0.027000000000000003
Ubr1,0.027000000000000003
Ap3b2,0.027000000000000003
Eps15,0.027000000000000003
Baz2a,0.027000000000000003
Dennd4a,0.027000000000000003
Madd,0.027000000000000003
Suz12,0.026000000000000002
Ncoa2,0.026000000000000002
Pik3c3,0.026000000000000002
Rasa1,0.026000000000000002
Dhx15,0.025
Parp14,0.025
Msh2,0.025
Zfc3h1,0.025
Thada,0.025
Nin,0.025
Gps2,0.025
Map3k1,0.025
Pcdh11x,0.025
Chl1,0.025
Flna,0.025
Prpf8,0.025
Srrt,0.025
Sesn3,0.025
Dpys,0.025
Znf385d,0.025
Immt,0.025
Cdh23,0.025
Ppfia2,0.025
Kiaa1210,0.025
Pik3r1,0.025
Gak,0.025
Gpc5,0.025
Patj,0.025
Rbbp8,0.025
Axdnd1,0.025
Myof,0.025
Upf1,0.025
Mia3,0.025
Tbc1d1,0.025
Mme,0.025
Myh13,0.025
Cd101,0.025
Sorl1,0.025
Col16a1,0.025
Stab2,0.025
Pde11a,0.025
Esyt1,0.025
Zfpm2,0.025
Upf2,0.025
Fbxl7,0.025
Nrap,0.025
Bltp3a,0.025
Vwf,0.025
Tmem131,0.025
Znf721,0.025
Dcdc1,0.025
Prkd1,0.025
Lamb4,0.025
Mastl,0.025
Sfi1,0.025
Wac,0.025
Thsd7a,0.025
Aknad1,0.025
Tnn,0.025
Cacna1e,0.025
Zc3hav1,0.025
Rptn,0.025
Cdh8,0.025
Cacna1d,0.025
Cacna1b,0.025
Fcho1,0.025
Usp48,0.025
Wdr6,0.025
Hnrnpa2b1,0.025
Phka1,0.025
Pcdhb11,0.025
A2ml1,0.025
Cep104,0.025
Xdh,0.025
Lrrc66,0.025
Fgd6,0.025
Usp31,0.025
Cngb1,0.025
Dlg5,0.025
Pcdha2,0.025
Eci2,0.025
B4galnt3,0.025
Setd1a,0.025
Brsk1,0.025
Nbeal2,0.025
Pcdha9,0.025
Leo1,0.025
Rbl1,0.025
Wapl,0.025
Npas4,0.025
Cdh2,0.025
Top1,0.025
Hes1,0.025
Dock6,0.025
Nup155,0.025
Nbn,0.025
Arhgap29,0.025
Anks1a,0.025
Tet2,0.025
Sptbn4,0.025
Eif4a2,0.025
Tll2,0.025
Ssh2,0.025
Atn1,0.025
Erich3,0.025
Trim24,0.025
Daxx,0.025
Prrc2c,0.025
Znf28,0.025
Sptbn5,0.025
Cdh17,0.025
Dzip1,0.025
Rapgef2,0.025
Eea1,0.025
Fasn,0.025
Ptprk,0.025
Iqsec3,0.025
Vps13a,0.025
Mbd5,0.025
Tlk2,0.025
Pik3cb,0.025
Dgkh,0.025
Atp12a,0.025
Myom3,0.025
Myom2,0.025
Lipe,0.025
Kmt5b,0.025
Tnpo3,0.025
Col5a3,0.025
Tep1,0.025
Uba6,0.025
Arhgap9,0.025
Zbtb38,0.025
Usp29,0.025
Cntnap5,0.025
Plekhh2,0.025
Npc1l1,0.025
Cfhr4,0.025
Camsap2,0.025
Siglec1,0.025
Pum1,0.025
Ccdc30,0.025
Clca4,0.025
Ccdc18,0.025
Trerf1,0.025
Taok1,0.025
Taok3,0.025
Znf479,0.025
Adamts2,0.025
Baz1a,0.025
Mpeg1,0.025
Parp8,0.025
E2f8,0.025
Abca4,0.025
Kcnt2,0.025
Ibtk,0.025
Abca9,0.025
Abca8,0.025
Trpm7,0.025
Cc2d2a,0.025
Slc44a2,0.025
Cchcr1,0.025
Dock10,0.025
Carmil1,0.025
Cftr,0.025
Znf507,0.025
Fam47c,0.025
Ppp4r1,0.025
Sulf1,0.025
Magi1,0.025
Itgam,0.025
Myo3b,0.025
Scn11a,0.025
Atp8b1,0.025
Smarcc2,0.025
Myo7b,0.025
Itpr1,0.025
Pld1,0.025
Nlrp9,0.025
Nlrp8,0.025
Zranb3,0.025
Cobl,0.025
Dnajc6,0.025
Mon2,0.025
Abcb1,0.025
Rprd2,0.025
Morc1,0.025
Gabra4,0.025
Mios,0.025
Nckap1l,0.025
Ddx11,0.025
Ddx5,0.025
Stil,0.025
Prune2,0.025
Nfatc1,0.025
Atg2a,0.025
Nisch,0.025
Usp9y,0.025
Itga4,0.025
Dip2b,0.025
Nsd3,0.025
Znf594,0.025
Ikzf1,0.025
Efcab6,0.025
Klf6,0.024
Ephb2,0.024
Bub1b,0.024
Tek,0.024
Grm3,0.024
Ephb3,0.024
Gbf1,0.023
Abcc11,0.023
Ric1,0.023
Wdr62,0.023
Slc26a8,0.023
Pros1,0.023
Iho1,0.023
Erc2,0.023
Rpgrip1,0.023
Rsc1a1,0.023
Camta1,0.023
Lrrc41,0.023
Spg11,0.023
Copb2,0.023
Psd3,0.023
Rab3gap2,0.023
Pkdrej,0.023
Pygm,0.023
Uggt1,0.023
Hecw1,0.023
Cadps2,0.023
Gria1,0.023
Nfe2l3,0.023
Znf493,0.023
Blnk,0.023
Agrn,0.023
Pcdh20,0.023
Rtn3,0.023
Col4a3,0.023
Nid1,0.023
Pdzrn4,0.023
Usp7,0.023
Nrdc,0.023
Col19a1,0.023
Usp4,0.023
Pxdnl,0.023
Tpp2,0.023
Cpsf1,0.023
Sin3a,0.023
Macc1,0.023
Muc2,0.023
Dpyd,0.023
Ikzf2,0.023
Bud13,0.023
Ice2,0.023
Krit1,0.023
Kctd3,0.023
Plekhg6,0.023
Cxxc1,0.023
Cdh6,0.023
Rgs22,0.023
Nos2,0.023
Txnip,0.023
Clasp2,0.023
Rere,0.023
Col2a1,0.023
Nrxn2,0.023
Nrxn3,0.023
Cfap251,0.023
Ret,0.023
Pcdhb8,0.023
Dhtkd1,0.023
Plekha5,0.023
Rel,0.023
Bard1,0.023
Pcdha7,0.023
Fgfr2,0.023
Rad54l2,0.023
Pcdha8,0.023
Paxbp1,0.023
Fga,0.023
Gramd1c,0.023
Hgf,0.023
Pom121,0.023
Aqr,0.023
Skic3,0.023
Hcn1,0.023
Kifap3,0.023
Nup160,0.023
H1-2,0.023
Ezr,0.023
Cntn5,0.023
Myh8,0.023
Pcif1,0.023
Cebpz,0.023
Slc9a4,0.023
Ttc7b,0.023
Abcc3,0.023
Cntn4,0.023
Cog5,0.023
Dock1,0.023
Abcc4,0.023
Pi4ka,0.023
Crybg3,0.023
Kcnb2,0.023
C3orf20,0.023
Myo1b,0.023
Abca7,0.023
Pcnx4,0.023
Arvcf,0.023
Grik5,0.023
Polr2b,0.023
Arhgef7,0.023
Eif4enif1,0.023
Myot,0.023
Ptprc,0.023
Brd10,0.023
Ap1b1,0.023
Ambra1,0.023
Sltm,0.023
Cep97,0.023
Pkd1l2,0.023
Fubp1,0.023
Rasgrf2,0.023
Egflam,0.023
Tnrc6b,0.023
Tmem132e,0.023
Smg7,0.023
Znf99,0.023
Iqgap1,0.023
Fam171a1,0.023
Nhs,0.023
Thoc2,0.023
Xpo4,0.023
Vps35l,0.023
Grid2,0.023
Dnai4,0.023
Mdga2,0.023
Dmbt1,0.023
Abcc8,0.023
Abcc9,0.023
Brd7,0.023
Shoc1,0.023
Zbtb7b,0.023
Syne3,0.023
Xpo1,0.023
Tnrc6a,0.023
Npap1,0.023
Myo1a,0.023
Erbin,0.023
C10orf90,0.023
Kcnq5,0.023
Trpc4,0.023
Ovch1,0.023
Cul7,0.023
Cbfa2t2,0.023
Setdb1,0.023
Prox1,0.023
Dock8,0.023
Nfatc2,0.023
Slc4a4,0.023
Lrrc37a3,0.023
Yme1l1,0.023
Hip1,0.023
Washc4,0.023
Hlcs,0.023
Vcam1,0.023
Tdrd6,0.023
Rbm47,0.023
Clspn,0.023
Tnks,0.023
H3c2,0.023
Crb1,0.023
Pdgfrb,0.023
Ntrk1,0.023
Cd1e,0.023
Nlrp2,0.023
Irs4,0.023
Dzip3,0.023
Mcm3ap,0.023
Itpr3,0.023
Alyref,0.023
Lrp12,0.023
Adam22,0.023
